CD_NODO,DS_NODO,CD_ACCESSO,BUSINESS_PROCESS,PG_ORDINAMENTO,FL_TERMINALE,LIVELLO,URL_ICONA,CD_PROPRIO_NODO,CD_NODO_PADRE,URL_ICONA_OPEN,UTCR,UTUV,PG_VER_REC
"0.AMM.MINCAR.M","gestione","AMMMINCARCOREMINCARM","CRUDMinicarrieraBP","2","Y","3","NULL","M","0.AMM.MINCAR","NULL","SYSTEM","SYSTEM","1"
"0.AMM.MINCAR.V","visualizzazione","AMMMINCARCOREMINCARV","CRUDMinicarrieraBP","1","Y","3","NULL","V","0.AMM.MINCAR","NULL","SYSTEM","SYSTEM","1"
"0.AMM.MISSIO.ANTICI","Anticipo","NULL","NULL","4","N","3","NULL","ANTICI","0.AMM.MISSIO","NULL","SYSTEM","SYSTEM","1"
"0.AMM.MISSIO.ANTICI.M","gestione","AMMMISSIOCOREANTICIM","CRUDAnticipoBP","2","Y","4","NULL","M","0.AMM.MISSIO.ANTICI","NULL","SYSTEM","SYSTEM","1"
"0.AMM.MISSIO.ANTICI.V","visualizzazione","AMMMISSIOCOREANTICIV","CRUDAnticipoBP","1","Y","4","NULL","V","0.AMM.MISSIO.ANTICI","NULL","SYSTEM","SYSTEM","1"
"0.COANCOEP","Registrazione Economico-Analitica","NULL","NULL","6","N","1","NULL","COANCOEP","0","NULL","SYSTEM","SYSTEM","1"
"0.COANCOEP.CNASSC","Tabelle di Riferimento","NULL","NULL","2","N","2","NULL","CNASSC","0.COANCOEP","NULL","SYSTEM","SYSTEM","1"
"0.COANCOEP.CNASSC.ASSANC","Associazione Anagrafica Conto","NULL","NULL","1","N","3","NULL","ASSANC","0.COANCOEP.CNASSC","NULL","SYSTEM","SYSTEM","1"
"0.COANCOEP.CNASSC.ASSANC.M","gestione","AMMCOEPCNASSCASSANCM","CRUDAssAnagContoBP","2","Y","4","NULL","M","0.COANCOEP.CNASSC.ASSANC","NULL","SYSTEM","SYSTEM","1"
"0.COANCOEP.CNASSC.ASSANC.V","visualizzazione","AMMCOEPCNASSCASSANCV","CRUDAssAnagContoBP","1","Y","4","NULL","V","0.COANCOEP.CNASSC.ASSANC","NULL","SYSTEM","SYSTEM","1"
"0.COANCOEP.COAN","Registrazione Analitica","NULL","NULL","3","N","2","NULL","COAN","0.COANCOEP","NULL","SYSTEM","SYSTEM","1"
"0.COANCOEP.COAN.MASCOG","Mastri Contabili","NULL","NULL","2","N","3","NULL","MASCOG","0.COANCOEP.COAN","NULL","SYSTEM","SYSTEM","1"
"0.COANCOEP.COAN.MASCOG.V","visualizzazione","AMMCOANCPCOREMASCOGV","RicercaMastriCoanBP","1","Y","4","NULL","V","0.COANCOEP.COAN.MASCOG","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.STMSPE","stampa PdC fin spese","CFGPDCFINCORESTMSPEM","StampaPdcFinSpeseBP","9","Y","3","NULL","STMSPE","0.CFG.PDCFIN","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.STMENT","stampa PdC fin entrate","CFGPDCFINCORESTMENTM","StampaPdcFinEntrateBP","10","Y","3","NULL","STMENT","0.CFG.PDCFIN","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCECP.STMECO","stampa PdC economico","CFGPDCECPCORESTMECOM","StampaPdcEconomicoBP","3","Y","3","NULL","STMECO","0.CFG.PDCECP","NULL","SYSTEM","SYSTEM","1"
"0.AMM.MINCAR.LIQUMC","liquidazione rate minicarriera","NULL","NULL","3","N","3","NULL","LIQUMC","0.AMM.MINCAR","NULL","SYSTEM","SYSTEM","1"
"0.AMM.MINCAR.LIQUMC.M","gestione","AMMMINCARCORELIQUMCM","CRUDLiquidazioneRateMinicarrieraBP_old","1","Y","4","NULL","M","0.AMM.MINCAR.LIQUMC","NULL","SYSTEM","SYSTEM","1"
"0.DOC.OBBLIG.ANNTRO","ann. spesa su p. giro tronca","NULL","NULL","62","N","3","NULL","ANNTRO","0.DOC.OBBLIG","NULL","SYSTEM","SYSTEM","1"
"0.DOC.OBBLIG.ANNTRO.V","visualizzazione","DOCOBBLIGCOREANNTROV","CRUDImpegnoPGiroTroncoBP","1","Y","4","NULL","V","0.DOC.OBBLIG.ANNTRO","NULL","SYSTEM","SYSTEM","1"
"0.DOC.OBBLIG.ANNTRO.M","gestione","DOCOBBLIGCOREANNTROM","CRUDImpegnoPGiroTroncoBP","2","Y","4","NULL","M","0.DOC.OBBLIG.ANNTRO","NULL","SYSTEM","SYSTEM","1"
"0.SERV.GESFES","Gestione file esterni","NULL","NULL","8","N","2","NULL","GESFES","0.SERV","NULL","SYSTEM","SYSTEM","1"
"0.DOC.ACCERT.ANNTRO","ann. entrata su p. giro tronca","NULL","NULL","4","N","3","NULL","ANNTRO","0.DOC.ACCERT","NULL","SYSTEM","SYSTEM","1"
"0.DOC.ACCERT.ANNTRO.V","visualizzazione","DOCACCERTCOREANNTROV","CRUDAccertamentoPGiroTroncoBP","1","Y","4","NULL","V","0.DOC.ACCERT.ANNTRO","NULL","SYSTEM","SYSTEM","1"
"0.DOC.ACCERT.ANNTRO.M","gestione","DOCACCERTCOREANNTROM","CRUDAccertamentoPGiroTroncoBP","2","Y","4","NULL","M","0.DOC.ACCERT.ANNTRO","NULL","SYSTEM","SYSTEM","1"
"0.IVA.RIEENT.PRVENT","riepilogativi provvisori IVA ente","NULL","NULL","1","N","3","NULL","PRVENT","0.IVA.RIEENT","NULL","SYSTEM","SYSTEM","1"
"0.IVA.RIEENT.PRVENT.M","gestione","AMMRIEENTCOREPRVENTM","RiepilogativiIvaCentroProvvisorioBP","1","Y","4","NULL","M","0.IVA.RIEENT.PRVENT","NULL","SYSTEM","SYSTEM","1"
"0.IVA.RIEENT.DEFENT","riepilogativi definitivi IVA ente","NULL","NULL","2","N","3","NULL","DEFENT","0.IVA.RIEENT","NULL","SYSTEM","SYSTEM","1"
"0.IVA.RIEENT.DEFENT.M","gestione","AMMRIEENTCOREDEFENTM","RiepilogativiIvaCentroDefinitivoBP","1","Y","4","NULL","M","0.IVA.RIEENT.DEFENT","NULL","SYSTEM","SYSTEM","1"
"0.DOC.OBBLIG.STAMPE","stampe","NULL","NULL","102","N","3","NULL","STAMPE","0.DOC.OBBLIG","NULL","SYSTEM","SYSTEM","1"
"0.DOC.OBBLIG.STAMPE.STROBB","registro impegni","DOCOBBLIGCORESTROBBM","StampaRegistroObbligazioniBP","1","Y","4","NULL","STROBB","0.DOC.OBBLIG.STAMPE","NULL","SYSTEM","SYSTEM","1"
"0.DOC.OBBLIG.STAMPE.STSCAD","scadenzario impegni","DOCOBBLIGCORESTSCADM","StampaScadenzarioObbligazioniBP","2","Y","4","NULL","STSCAD","0.DOC.OBBLIG.STAMPE","NULL","SYSTEM","SYSTEM","1"
"0.IVA.LIQIVA.LIQMAS","Liquidazione massiva","NULL","NULL","3","N","3","NULL","LIQMAS","0.IVA.LIQIVA","NULL","SYSTEM","SYSTEM","1"
"0.IVA.LIQIVA.LIQMAS.M","gestione","AMMLIQIVACORELIQMASM","LiquidazioneMassaIvaBP","1","Y","4","NULL","M","0.IVA.LIQIVA.LIQMAS","NULL","SYSTEM","SYSTEM","1"
"0.IVA.RIESDF.ESDIFP","riepilogativi provvisori","NULL","NULL","1","N","3","NULL","ESDIFP","0.IVA.RIESDF","NULL","SYSTEM","SYSTEM","1"
"0.IVA.RIESDF.ESDIFD","riepilogativi definitivi","NULL","NULL","2","N","3","NULL","ESDIFD","0.IVA.RIESDF","NULL","SYSTEM","SYSTEM","1"
"0.IVA.RIESDF.ESDIFP.M","gestione","AMMRIEIVACOREESDIFPM","RiepilogoIvaEsigibilitaDifferitaProvvisoriaBP","1","Y","4","NULL","M","0.IVA.RIESDF.ESDIFP","NULL","SYSTEM","SYSTEM","1"
"0.IVA.RIESDF.ESDIFD.M","gestione","AMMRIEIVACOREESDIFDM","RiepilogoIvaEsigibilitaDifferitaDefinitivaBP","1","Y","4","NULL","M","0.IVA.RIESDF.ESDIFD","NULL","SYSTEM","SYSTEM","1"
"0.AMM.MISSIO.STAMPE","stampe","NULL","NULL","5","N","3","NULL","STAMPE","0.AMM.MISSIO","NULL","SYSTEM","SYSTEM","1"
"0.DOC.MANDAT.STAMPE","stampe","NULL","NULL","80","N","3","NULL","STAMPE","0.DOC.MANDAT","NULL","SYSTEM","SYSTEM","1"
"0.DOC.REVERS.STAMPE","stampe","NULL","NULL","4","N","3","NULL","STAMPE","0.DOC.REVERS","NULL","SYSTEM","SYSTEM","1"
"0.AMM.MISSIO.STAMPE.STVPGM","stampa","AMMMISSIOCORESTVPGMM","StampaVpgMissioneBP","1","Y","4","NULL","STVPGM","0.AMM.MISSIO.STAMPE","NULL","SYSTEM","SYSTEM","1"
"0.DOC.MANDAT.STAMPE.STMASM","stampa mandati","DOCMANDATCORESTMASMM","StampaVpgMandatoBP","3","Y","4","NULL","STMASM","0.DOC.MANDAT.STAMPE","NULL","SYSTEM","SYSTEM","1"
"0.DOC.REVERS.STAMPE.STMASR","stampa reversali","DOCMANDATCORESTMASRM","StampaVpgReversaleBP","2","Y","4","NULL","STMASR","0.DOC.REVERS.STAMPE","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FDECON.STAMPE","stampe","NULL","NULL","4","N","3","NULL","STAMPE","0.AMM.FDECON","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FDECON.STAMPE.STVPGF","stampa fondo economale","AMMFDECONCORESTVPGFM","StampaVpgFondoEconomaleBP","1","Y","4","NULL","STVPGF","0.AMM.FDECON.STAMPE","NULL","SYSTEM","SYSTEM","1"
"0.AMM.DOCGEN.STAMPE","stampe","NULL","NULL","3","N","3","NULL","STAMPE","0.AMM.DOCGEN","NULL","SYSTEM","SYSTEM","1"
"0.AMM.DOCGEN.STAMPE.STVPGG","stampa documenti generici","AMMDOCGENDOCSSTVPGGM","StampaVpgDocGenericoBP","1","Y","4","NULL","STVPGG","0.AMM.DOCGEN.STAMPE","NULL","SYSTEM","SYSTEM","1"
"0.AMM.MINCAR.STAMPE","stampe","NULL","NULL","4","N","3","NULL","STAMPE","0.AMM.MINCAR","NULL","SYSTEM","SYSTEM","1"
"0.AMM.MINCAR.STAMPE.STPCOM","stampa partitario compensi","AMMMINCARCORESTPCOMM","StampaPartitarioCompensiBP","1","Y","4","NULL","STPCOM","0.AMM.MINCAR.STAMPE","NULL","SYSTEM","SYSTEM","1"
"0.DOC.MANDAT.STAMPE.STMMAN","giornale mandati","DOCMANDATCORESTMMANM","StampaGiornaleMandatiBP","1","Y","4","NULL","STMMAN","0.DOC.MANDAT.STAMPE","NULL","SYSTEM","SYSTEM","1"
"0.DOC.MANDAT.STAMPE.SAVPAG","stampa avviso pagamento mandato","DOCMANDATCORESAVPAGM","StampaAvvisoPagamentoMandatoBP","4","Y","4","NULL","SAVPAG","0.DOC.MANDAT.STAMPE","NULL","SYSTEM","SYSTEM","1"
"0.IVA.LIQIVA.CHIMEN","Chiusura mensile IVA","NULL","NULL","4","N","3","NULL","CHIMEN","0.IVA.LIQIVA","NULL","SYSTEM","SYSTEM","1"
"0.IVA.LIQIVA.CHIMEN.M","gestione","AMMLIQIVACORECHIMENM","VisualizzaLiquidazioneDefinitivaIvaBP","1","Y","4","NULL","M","0.IVA.LIQIVA.CHIMEN","NULL","SYSTEM","SYSTEM","1"
"0.DOC.ACCERT.STAMPE","stampe","NULL","NULL","6","N","3","NULL","STAMPE","0.DOC.ACCERT","NULL","SYSTEM","SYSTEM","1"
"0.DOC.ACCERT.STAMPE.STRACC","registro accertamenti","DOCACCERTCORESTRACCM","StampaRegistroAccertamentiBP","1","Y","4","NULL","STRACC","0.DOC.ACCERT.STAMPE","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.ASSC.PF0030.V","visualizzazione","CFGPDCFINASSCPF0030V","CRUDConfigAssCapSpesaCdsTipoInterventoBP","1","Y","5","NULL","V","0.CFG.PDCFIN.ASSC.PF0030","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.ASSC.PF0040.V","visualizzazione","CFGPDCFINASSCPF0040V","CRUDConfigAssCapEntrataCnrNaturaBP","1","Y","5","NULL","V","0.CFG.PDCFIN.ASSC.PF0040","NULL","SYSTEM","SYSTEM","1"
"0.CFG.STRORG.TABR.TIPCDS.V","visualizzazione","CFGSTRORGTABRTIPCDSV","CRUDConfigTipoUnitaOrgBP","1","Y","5","NULL","V","0.CFG.STRORG.TABR.TIPCDS","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.CACNRS","capitolo CNR Spesa parte 1","NULL","NULL","5","N","3","NULL","CACNRS","0.CFG.PDCFIN","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.CACNRS.M","gestione","CFGPDCFINCORECACNRSM","CRUDConfigPdcCNRSpeseCategoriaBP","2","Y","4","NULL","M","0.CFG.PDCFIN.CACNRS","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.CACNRS.V","visualizzazione","CFGPDCFINCORECACNRSV","CRUDConfigPdcCNRSpeseCategoriaBP","1","Y","4","NULL","V","0.CFG.PDCFIN.CACNRS","NULL","SYSTEM","SYSTEM","1"
"0.CFG.UTENZE.UADMIN.V","visualizzazione","CFGUTENZECOREUADMINV","CRUDConfigUtenteAmministratoreBP","1","Y","4","NULL","V","0.CFG.UTENZE.UADMIN","NULL","SYSTEM","SYSTEM","1"
"0.CFG.UTENZE.ACCRUO","accessi per ruolo","NULL","NULL","4","N","3","NULL","ACCRUO","0.CFG.UTENZE","NULL","SYSTEM","SYSTEM","1"
"0.CFG.UTENZE.ACCRUO.M","gestione","CFGUTENZECOREACCRUOM","CRUDConfigRuoloBP","2","Y","4","NULL","M","0.CFG.UTENZE.ACCRUO","NULL","SYSTEM","SYSTEM","1"
"0.CFG.UTENZE.ACCRUO.V","visualizzazione","CFGUTENZECOREACCRUOV","CRUDConfigRuoloBP","1","Y","4","NULL","V","0.CFG.UTENZE.ACCRUO","NULL","SYSTEM","SYSTEM","1"
"0.CFG.UTENZE.UTEMPL","utenza template","NULL","NULL","2","N","3","NULL","UTEMPL","0.CFG.UTENZE","NULL","SYSTEM","SYSTEM","1"
"0.CFG.UTENZE.UTEMPL.M","gestione","CFGUTENZECOREUCOMUNM","CRUDConfigUtenteTemplateBP","2","Y","4","NULL","M","0.CFG.UTENZE.UTEMPL","NULL","SYSTEM","SYSTEM","1"
"0.CFG.UTENZE.UTEMPL.V","visualizzazione","CFGUTENZECOREUCOMUNV","CRUDConfigUtenteTemplateBP","1","Y","4","NULL","V","0.CFG.UTENZE.UTEMPL","NULL","SYSTEM","SYSTEM","1"
"0.CFG.ANAGCF.TABR.CLANAG.V","visualizzazione","CFGANAGCFTABRCLANAGV","CRUDClassificazioneAnag","1","Y","5","NULL","V","0.CFG.ANAGCF.TABR.CLANAG","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.CACNRE.V","visualizzazione","CFGPDCFINCORECACNREV","CRUDConfigPdcCNREntrateCapitoloBP","1","Y","4","NULL","V","0.CFG.PDCFIN.CACNRE","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.CACNRE.M","gestione","CFGPDCFINCORECACNREM","CRUDConfigPdcCNREntrateCapitoloBP","2","Y","4","NULL","M","0.CFG.PDCFIN.CACNRE","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.CACDSE","capitolo CDS Entrata","NULL","NULL","2","N","3","NULL","CACDSE","0.CFG.PDCFIN","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.CACDSE.V","visualizzazione","CFGPDCFINCORECACDSEV","CRUDConfigPdcCDSEntrateBP","1","Y","4","NULL","V","0.CFG.PDCFIN.CACDSE","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.CACDSE.M","gestione","CFGPDCFINCORECACDSEM","CRUDConfigPdcCDSEntrateBP","2","Y","4","NULL","M","0.CFG.PDCFIN.CACDSE","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.CGCNRE","categoria CNR entrata","NULL","NULL","3","N","3","NULL","CGCNRE","0.CFG.PDCFIN","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.CGCNRE.M","gestione","CFGPDCFINCORECGCNREM","CRUDConfigPdcCNREntrateCategoriaBP","2","Y","4","NULL","M","0.CFG.PDCFIN.CGCNRE","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.CGCNRE.V","visualizzazione","CFGPDCFINCORECGCNREV","CRUDConfigPdcCNREntrateCategoriaBP","1","Y","4","NULL","V","0.CFG.PDCFIN.CGCNRE","NULL","SYSTEM","SYSTEM","1"
"0.CFG.STRORG.CENRES","centro di responsabilita","NULL","NULL","3","N","3","NULL","CENRES","0.CFG.STRORG","NULL","SYSTEM","SYSTEM","1"
"0.CFG.STRORG.CENRES.M","gestione","CFGSTRORGCORECENRESM","CRUDConfigCdRBP","2","Y","4","NULL","M","0.CFG.STRORG.CENRES","NULL","SYSTEM","SYSTEM","1"
"0.CFG.STRORG.CENRES.V","visualizzazione","CFGSTRORGCORECENRESV","CRUDConfigCdRBP","1","Y","4","NULL","V","0.CFG.STRORG.CENRES","NULL","SYSTEM","SYSTEM","1"
"0.CFG.STRORG.CENSPE","centro di spesa","NULL","NULL","1","N","3","NULL","CENSPE","0.CFG.STRORG","NULL","SYSTEM","SYSTEM","1"
"0.CFG.STRORG.CENSPE.M","gestione","CFGSTRORGCORECENSPEM","CRUDConfigCdSBP","2","Y","4","NULL","M","0.CFG.STRORG.CENSPE","NULL","SYSTEM","SYSTEM","1"
"0.CFG.STRORG.CENSPE.V","visualizzazione","CFGSTRORGCORECENSPEV","CRUDConfigCdSBP","1","Y","4","NULL","V","0.CFG.STRORG.CENSPE","NULL","SYSTEM","SYSTEM","1"
"0.CFG.STRORG.UNIORG","unita organizzativa","NULL","NULL","2","N","3","NULL","UNIORG","0.CFG.STRORG","NULL","SYSTEM","SYSTEM","1"
"0.CFG.STRORG.UNIORG.M","gestione","CFGSTRORGCOREUNIORGM","CRUDConfigUnitaOrgBP","2","Y","4","NULL","M","0.CFG.STRORG.UNIORG","NULL","SYSTEM","SYSTEM","1"
"0.SERV.9998","SQL Trace","XXXRESINFCORERESINFX","SQLTraceBP","3","Y","2","NULL","9998","0.SERV","NULL","SYSTEM","SYSTEM","1"
"0.SERV.9997","Session Trace","XXXRESINFCORERESINFX","RequestTraceBP","1","Y","2","NULL","9997","0.SERV","NULL","SYSTEM","SYSTEM","1"
"0.PRV.BIPREV","Bilancio preventivo","NULL","NULL","30","N","2","NULL","BIPREV","0.PRV","NULL","SYSTEM","SYSTEM","1"
"0.PRV.BIPREV.CNRM","gestione CNR","PRVBIPREVCOREBPRCNRM","CRUDBilancioPrevCnrBP","2","Y","3","NULL","CNRM","0.PRV.BIPREV","NULL","SYSTEM","SYSTEM","1"
"0.PRV.BIPREV.CNRV","visualizzazione CNR","PRVBIPREVCOREBPRCNRV","CRUDBilancioPrevCnrBP","1","Y","3","NULL","CNRV","0.PRV.BIPREV","NULL","SYSTEM","SYSTEM","1"
"0.PRV.BIPREV.CDSM","gestione CDS","PRVBIPREVCOREBPRCDSM","CRUDBilancioPrevCdsBP","4","Y","3","NULL","CDSM","0.PRV.BIPREV","NULL","SYSTEM","SYSTEM","1"
"0.PRV.BIPREV.CDSV","visualizzazione CDS","PRVBIPREVCOREBPRCDSV","CRUDBilancioPrevCdsBP","3","Y","3","NULL","CDSV","0.PRV.BIPREV","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCECP.CAPOCO","capoconto PDC EP","NULL","NULL","1","N","3","NULL","CAPOCO","0.CFG.PDCECP","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCECP.CAPOCO.V","visualizzazione","CFGPDCECPCORECAPOCOV","CRUDConfigCapocontoBP","1","Y","4","NULL","V","0.CFG.PDCECP.CAPOCO","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCECP.CAPOCO.M","gestione","CFGPDCECPCORECAPOCOM","CRUDConfigCapocontoBP","2","Y","4","NULL","M","0.CFG.PDCECP.CAPOCO","NULL","SYSTEM","SYSTEM","1"
"0.CFG.STRORG","Struttura organizzativa","NULL","NULL","30","N","2","NULL","STRORG","0.CFG","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCECP.CONTEP","conto PDC EP","NULL","NULL","2","N","3","NULL","CONTEP","0.CFG.PDCECP","NULL","SYSTEM","SYSTEM","1"
"0.DOC.REVERS.STAMPE.STGREV","giornale reversali","DOCREVERSCORESTGREVM","StampaGiornaleReversaliBP","1","Y","4","NULL","STGREV","0.DOC.REVERS.STAMPE","NULL","SYSTEM","SYSTEM","1"
"0.DOC.SNGCNT.STSNGC","stampa","DOCSNGCNTCORESTSNGCM","RicercaSingoloContoBP","1","Y","3","NULL","STSNGC","0.DOC.SNGCNT","NULL","SYSTEM","SYSTEM","1"
"0.AMM.COMPEN.STAMPE.CRTPRV","stampa  certificazione a rit. previd.","AMMCOMPENCORECRTPRVM","StampaCertificazioneRitenutaPrevidenzialeBP","2","Y","4","NULL","CRTPRV","0.AMM.COMPEN.STAMPE","NULL","SYSTEM","SYSTEM","1"
"0.AMM.COMPEN.STAMPE.CRTACC","stampa  certificazione a rit. d'acconto","AMMCOMPENCORECRTACCM","StampaCertificazioneRitenutaAccontoBP","3","Y","4","NULL","CRTACC","0.AMM.COMPEN.STAMPE","NULL","SYSTEM","SYSTEM","1"
"0.AMM.COMPEN.STAMPE.CRTIMP","stampa  certificazione a titolo d'imposta","AMMCOMPENCORECRTIMPM","StampaCertificazioneTitoloImpostaBP","4","Y","4","NULL","CRTIMP","0.AMM.COMPEN.STAMPE","NULL","SYSTEM","SYSTEM","1"
"0.AMM.COMPEN.ESTR","estrazioni fiscali","NULL","NULL","6","N","3","NULL","ESTR","0.AMM.COMPEN","NULL","SYSTEM","SYSTEM","1"
"0.AMM.COMPEN.ESTR.ELACUD","elaborazione CUD","AMMCOMPENESTRELACUDM","EstrazioneCUDBP","1","Y","4","NULL","ELACUD","0.AMM.COMPEN.ESTR","NULL","SYSTEM","SYSTEM","1"
"0.DOC.OBBLIG.STAMPE.OBBRIP","stampa impegni riportabili","DOCOBBLIGCOREOBBRIPM","StampaObbligazioniRiportabiliBP","6","Y","4","NULL","OBBRIP","0.DOC.OBBLIG.STAMPE","NULL","SYSTEM","SYSTEM","1"
"0.DOC.INTCAS.SOSCDS.STAMPE.SOSASS","stampa sospesi da assegnare","DOCINTCASCORESOSASSM","StampaSospesiDaAssegnareBP","4","Y","5","NULL","SOSASS","0.DOC.INTCAS.SOSCDS.STAMPE","NULL","SYSTEM","SYSTEM","1"
"0.AMM.COMPEN.ESTR.ELINPS","elaborazione INPS","AMMCOMPENESTRELINPSM","EstrazioneINPSBP","2","Y","4","NULL","ELINPS","0.AMM.COMPEN.ESTR","NULL","SYSTEM","SYSTEM","1"
"0.AMM.INVENT.STAMPE","stampe","NULL","NULL","5","N","3","NULL","STAMPE","0.AMM.INVENT","NULL","SYSTEM","SYSTEM","1"
"0.AMM.INVENT.STAMPE.STNOUT","stampa beni senza utilizzatori","AMMINVENTCORESTNOUTM","StampaBeniSenzaUtilizzatoriBP","1","Y","4","NULL","STNOUT","0.AMM.INVENT.STAMPE","NULL","SYSTEM","SYSTEM","1"
"0.CNS.RNDFIN","Rendiconti Finanziari","NULL","NULL","2","N","2","NULL","RNDFIN","0.CNS","NULL","SYSTEM","SYSTEM","1"
"0.CNS.PDGING.SITANA","situazione analitica per GAE","NULL","NULL","1","N","3","NULL","SITANA","0.CNS.PDGING","NULL","SYSTEM","SYSTEM","1"
"0.CNS.PDGING.SITSIN","situazione sintetica per GAE","NULL","NULL","2","N","3","NULL","SITSIN","0.CNS.PDGING","NULL","SYSTEM","SYSTEM","1"
"0.CNS.PDGING.SITANA.SANAAC","spese/costi anno corrente","CNSPDGINGCORESANAACM","StampaAnaliticaSpeseLdaBP","2","Y","5","NULL","SANAAC","0.CNS.PDGING.SITANA","NULL","SYSTEM","SYSTEM","1"
"0.CNS.PDGING.SITANA.EANAAC","entrate anno corrente","CNSPDGINGCOREEANAACM","StampaAnaliticaEntrateLdaBP","3","Y","5","NULL","EANAAC","0.CNS.PDGING.SITANA","NULL","SYSTEM","SYSTEM","1"
"0.CNS.PDGING.SITSIN.SSINAC","spese/costi anno corrente","CNSPDGINGCORESSINACM","StampaSinteticaSpeseLdaBP","3","Y","5","NULL","SSINAC","0.CNS.PDGING.SITSIN","NULL","SYSTEM","SYSTEM","1"
"0.CNS.PDGING.SITSIN.ESINAC","entrate anno corrente","CNSPDGINGCOREESINACM","StampaSinteticaEntrateLdaBP","2","Y","5","NULL","ESINAC","0.CNS.PDGING.SITSIN","NULL","SYSTEM","SYSTEM","1"
"0.CNS.RNDFIN.FINCDS","stampa rend. finanziario CDS","NULL","NULL","3","N","3","NULL","FINCDS","0.CNS.RNDFIN","NULL","SYSTEM","SYSTEM","1"
"0.DOC.INTCAS.SOSCDS","sospesi Ente per CdS","NULL","NULL","50","N","3","NULL","SOSCDS","0.DOC.INTCAS","NULL","SYSTEM","SYSTEM","1"
"0.DOC.INTCAS.SOSCDS.V","visualizzazione","DOCINTCASCORESOSCDSV","ListaSospesiCNRPerCdsBP","1","Y","4","NULL","V","0.DOC.INTCAS.SOSCDS","NULL","SYSTEM","SYSTEM","1"
"0.DOC.ACCERT.STAMPE.SANCDS","stampa registro annotaz. di entrata su pgiro - CDS","DOCACCERTCORESANCDSM","StampaRegistroAnnotazioneEntratePGiroCDSBP","3","Y","4","NULL","SANCDS","0.DOC.ACCERT.STAMPE","NULL","SYSTEM","SYSTEM","1"
"0.DOC.ACCERT.STAMPE.SANCNR","stampa registro annotaz. di entrata su pgiro - CNR","DOCACCERTCORESANCNRM","StampaRegistroAnnotazioneEntratePGiroCNRBP","4","Y","4","NULL","SANCNR","0.DOC.ACCERT.STAMPE","NULL","SYSTEM","SYSTEM","1"
"0.DOC.OBBLIG.STAMPE.SANCDS","stampa registro annot. di spesa su pgiro  - CDS","DOCOBBLIGCORESANCDSM","StampaRegistroAnnotazioneSpesePGiroCDSBP","3","Y","4","NULL","SANCDS","0.DOC.OBBLIG.STAMPE","NULL","SYSTEM","SYSTEM","1"
"0.DOC.OBBLIG.STAMPE.SANCNR","stampa registro annotaz. di spesa su pgiro  - CNR","DOCOBBLIGCORESANCNRM","StampaRegistroAnnotazioneSpesePGiroCNRBP","4","Y","4","NULL","SANCNR","0.DOC.OBBLIG.STAMPE","NULL","SYSTEM","SYSTEM","1"
"0.PRV.PDGING.CSTDIP.STAMPE","stampe","NULL","NULL","4","N","4","NULL","STAMPE","0.PRV.PDGING.CSTDIP","NULL","SYSTEM","SYSTEM","1"
"0.CFG.ANAGCF.STAMPE.SPRDIP","stampa dipendenti","CFGANAGCFCORESPRDIPM","StampaPrevidenzialeDipendentiBP","1","Y","4","NULL","SPRDIP","0.CFG.ANAGCF.STAMPE","NULL","SYSTEM","SYSTEM","1"
"0.DOC.INTCAS.CAFILE","gestione file cassiere","NULL","NULL","60","N","3","NULL","CAFILE","0.DOC.INTCAS","NULL","SYSTEM","SYSTEM","1"
"0.CNS","Consuntivo","NULL","NULL","8","N","1","NULL","CNS","0","NULL","SYSTEM","SYSTEM","1"
"0.CNS.PDGING","Piano di gestione in gestione","NULL","NULL","1","N","2","NULL","PDGING","0.CNS","NULL","SYSTEM","SYSTEM","1"
"0.DOC.MANDAT.STAMPE.STPAGE","situazione pagamenti estero","DOCMANDATCORESTPAGEM","StampaSituazionePagamentiEsteroBP","2","Y","4","NULL","STPAGE","0.DOC.MANDAT.STAMPE","NULL","SYSTEM","SYSTEM","1"
