"pg_storico_","im02","dt01","dt02","dacr","utcr","duva","utuv","pg_ver_rec","esercizio","cd_unita_funzionale","cd_chiave_primaria","cd_chiave_secondaria","val01","val02","val03","val04","im01","user_","dt_transaction_","action_"
"943","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-17T11:25:00.000","$$$$SYSDATE$$$$","2985","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-17T11:25:00.000","U"
"944","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-17T11:25:00.000","$$$$SYSDATE$$$$","2986","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-17T11:30:00.000","U"
"945","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-17T11:30:00.000","$$$$SYSDATE$$$$","2987","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-17T11:30:00.000","U"
"946","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-17T11:30:00.000","$$$$SYSDATE$$$$","2988","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-17T11:35:00.000","U"
"947","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-17T11:35:00.000","$$$$SYSDATE$$$$","2989","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-17T11:35:00.000","U"
"948","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-17T11:35:00.000","$$$$SYSDATE$$$$","2990","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-17T11:40:00.000","U"
"949","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-17T11:40:00.000","$$$$SYSDATE$$$$","2991","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-17T11:40:00.000","U"
"950","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-17T11:40:00.000","$$$$SYSDATE$$$$","2992","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-17T11:45:00.000","U"
"951","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-17T11:45:00.000","$$$$SYSDATE$$$$","2993","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-17T11:45:00.000","U"
"952","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-17T11:45:00.000","$$$$SYSDATE$$$$","2994","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-17T11:50:00.000","U"
"953","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-17T11:50:00.000","$$$$SYSDATE$$$$","2995","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-17T11:50:00.000","U"
"954","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-17T11:50:00.000","$$$$SYSDATE$$$$","2996","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-17T11:55:00.000","U"
"955","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-17T11:55:00.000","$$$$SYSDATE$$$$","2997","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-17T11:55:00.000","U"
"1209","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-17T23:30:00.000","$$$$SYSDATE$$$$","3251","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-17T23:30:01.000","U"
"1210","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-17T23:30:01.000","$$$$SYSDATE$$$$","3252","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-17T23:35:00.000","U"
"1211","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-17T23:35:00.000","$$$$SYSDATE$$$$","3253","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-17T23:35:01.000","U"
"1212","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-17T23:35:01.000","$$$$SYSDATE$$$$","3254","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-17T23:40:00.000","U"
"1213","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-17T23:40:00.000","$$$$SYSDATE$$$$","3255","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-17T23:40:01.000","U"
"1214","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-17T23:40:01.000","$$$$SYSDATE$$$$","3256","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-17T23:45:00.000","U"
"1215","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-17T23:45:00.000","$$$$SYSDATE$$$$","3257","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-17T23:45:01.000","U"
"1216","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-17T23:45:01.000","$$$$SYSDATE$$$$","3258","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-17T23:50:00.000","U"
"1217","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-17T23:50:00.000","$$$$SYSDATE$$$$","3259","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-17T23:50:01.000","U"
"1218","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-17T23:50:01.000","$$$$SYSDATE$$$$","3260","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-17T23:55:00.000","U"
"1219","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-17T23:55:00.000","$$$$SYSDATE$$$$","3261","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-17T23:55:01.000","U"
"1220","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-17T23:55:01.000","$$$$SYSDATE$$$$","3262","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-18T00:00:00.000","U"
"1221","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T00:00:00.000","$$$$SYSDATE$$$$","3263","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-18T00:00:01.000","U"
"1222","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T00:00:01.000","$$$$SYSDATE$$$$","3264","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-18T00:05:00.000","U"
"1223","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T00:05:00.000","$$$$SYSDATE$$$$","3265","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-18T00:05:01.000","U"
"1224","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T00:05:01.000","$$$$SYSDATE$$$$","3266","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-18T00:10:00.000","U"
"1225","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T00:10:00.000","$$$$SYSDATE$$$$","3267","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-18T00:10:01.000","U"
"1226","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T00:10:01.000","$$$$SYSDATE$$$$","3268","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-18T00:15:00.000","U"
"1227","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T00:15:00.000","$$$$SYSDATE$$$$","3269","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-18T00:15:01.000","U"
"1228","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T00:15:01.000","$$$$SYSDATE$$$$","3270","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-18T00:20:00.000","U"
"1229","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T00:20:00.000","$$$$SYSDATE$$$$","3271","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-18T00:20:01.000","U"
"1230","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T00:20:01.000","$$$$SYSDATE$$$$","3272","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-18T00:25:00.000","U"
"1231","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T00:25:00.000","$$$$SYSDATE$$$$","3273","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-18T00:25:01.000","U"
"1232","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T00:25:01.000","$$$$SYSDATE$$$$","3274","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-18T00:30:00.000","U"
"1233","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T00:30:00.000","$$$$SYSDATE$$$$","3275","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-18T00:30:01.000","U"
"1234","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T00:30:01.000","$$$$SYSDATE$$$$","3276","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-18T00:35:01.000","U"
"1235","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T00:35:01.000","$$$$SYSDATE$$$$","3277","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-18T00:35:01.000","U"
"1236","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T00:35:01.000","$$$$SYSDATE$$$$","3278","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-18T00:40:00.000","U"
"1237","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T00:40:00.000","$$$$SYSDATE$$$$","3279","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-18T00:40:01.000","U"
"1238","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T00:40:01.000","$$$$SYSDATE$$$$","3280","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-18T00:45:00.000","U"
"1239","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T00:45:00.000","$$$$SYSDATE$$$$","3281","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-18T00:45:01.000","U"
"1240","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T00:45:01.000","$$$$SYSDATE$$$$","3282","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-18T00:50:00.000","U"
"1241","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T00:50:00.000","$$$$SYSDATE$$$$","3283","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-18T00:50:01.000","U"
"1242","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T00:50:01.000","$$$$SYSDATE$$$$","3284","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-18T00:55:00.000","U"
"1243","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T00:55:00.000","$$$$SYSDATE$$$$","3285","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-18T00:55:01.000","U"
"1244","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T00:55:01.000","$$$$SYSDATE$$$$","3286","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-18T01:00:00.000","U"
"1245","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T01:00:00.000","$$$$SYSDATE$$$$","3287","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-18T01:00:01.000","U"
"1246","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T01:00:01.000","$$$$SYSDATE$$$$","3288","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-18T01:05:00.000","U"
"1247","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T01:05:00.000","$$$$SYSDATE$$$$","3289","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-18T01:05:00.000","U"
"1248","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T01:05:00.000","$$$$SYSDATE$$$$","3290","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-18T01:10:00.000","U"
"1249","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T01:10:00.000","$$$$SYSDATE$$$$","3291","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-18T01:10:00.000","U"
"1250","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T01:10:00.000","$$$$SYSDATE$$$$","3292","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-18T01:15:00.000","U"
"1251","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T01:15:00.000","$$$$SYSDATE$$$$","3293","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-18T01:15:00.000","U"
"1252","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T01:15:00.000","$$$$SYSDATE$$$$","3294","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-18T01:20:00.000","U"
"1253","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T01:20:00.000","$$$$SYSDATE$$$$","3295","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-18T01:20:00.000","U"
"1254","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T01:20:00.000","$$$$SYSDATE$$$$","3296","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-18T01:25:00.000","U"
"1255","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T01:25:00.000","$$$$SYSDATE$$$$","3297","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-18T01:25:00.000","U"
"1256","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T01:25:00.000","$$$$SYSDATE$$$$","3298","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-18T01:30:00.000","U"
"1257","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T01:30:00.000","$$$$SYSDATE$$$$","3299","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-18T01:30:00.000","U"
"1258","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T01:30:00.000","$$$$SYSDATE$$$$","3300","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-18T01:35:00.000","U"
"1259","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T01:35:00.000","$$$$SYSDATE$$$$","3301","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-18T01:35:00.000","U"
"1260","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T01:35:00.000","$$$$SYSDATE$$$$","3302","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-18T01:40:00.000","U"
"1261","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T01:40:00.000","$$$$SYSDATE$$$$","3303","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-18T01:40:00.000","U"
"1262","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T01:40:00.000","$$$$SYSDATE$$$$","3304","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-18T01:45:00.000","U"
"1263","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T01:45:00.000","$$$$SYSDATE$$$$","3305","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-18T01:45:00.000","U"
"1264","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T01:45:00.000","$$$$SYSDATE$$$$","3306","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-18T01:50:00.000","U"
"1265","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T01:50:00.000","$$$$SYSDATE$$$$","3307","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-18T01:50:00.000","U"
"1266","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T01:50:00.000","$$$$SYSDATE$$$$","3308","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-18T01:55:00.000","U"
"1267","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T01:55:00.000","$$$$SYSDATE$$$$","3309","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-18T01:55:00.000","U"
"1268","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T01:55:00.000","$$$$SYSDATE$$$$","3310","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-18T02:00:00.000","U"
"1269","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T02:00:00.000","$$$$SYSDATE$$$$","3311","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-18T02:00:00.000","U"
"1270","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-18T02:00:00.000","$$$$SYSDATE$$$$","3312","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-18T02:05:00.000","U"
"1164","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-17T21:35:01.000","$$$$SYSDATE$$$$","3206","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-17T21:40:00.000","U"
"1165","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-17T21:40:00.000","$$$$SYSDATE$$$$","3207","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-17T21:40:01.000","U"
"1166","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-17T21:40:01.000","$$$$SYSDATE$$$$","3208","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-17T21:45:00.000","U"
"1167","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-17T21:45:00.000","$$$$SYSDATE$$$$","3209","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-17T21:45:05.000","U"
"1168","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-17T21:45:05.000","$$$$SYSDATE$$$$","3210","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-17T21:50:00.000","U"
