"cd_bene_servizio","ds_bene_servizio","unita_misura","fl_gestione_inventario","fl_gestione_magazzino","cd_voce_iva","cd_categoria_gruppo","dacr","utcr","duva","utuv","pg_ver_rec","ti_bene_servizio","fl_obb_intrastat_acq","fl_obb_intrastat_ven","fl_valido","fl_autofattura","fl_bollo","fl_scadenza","tipo_servizio","tipo_manutenzione","note","tipo_gestione","sconti_applic_invent","cd_gruppo_merceologico","cd_tipo_articolo"
"206800","AMMONIO BICROMATO       C/GR  2507789-09-5","GR","N","Y","22","9.2","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:56.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"202850","ALIZARINA S  GR.25130-22-3","GR","N","Y","22","9.4","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:56.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"202870","ALIZARINVIRIDINA6425-03-2","GR","N","Y","22","9.4","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:56.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"202950","ALLILE BROMURO          C/ML  100106-95-6","ML","N","Y","22","9.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:56.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"203354","ALLUMINIO CLORURO ESAID.C/GR  5007784-13-6","GR","N","Y","22","9.2","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:56.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"203500","ALLUMINIO LATTATO       C/GR  10018917-91-4","GR","N","Y","22","9.2","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:56.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"203804","ALLUMINIO POTASSIO SOLF.C/GR  5007784-24-9","GR","N","Y","22","9.2","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:56.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"204100","AMIDO SOLUBILE          C/GR  2509005-84-9","GR","N","Y","22","9.2","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:56.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"204152","AMIDOSCHWARZ            C/GR   251064-48-8","GR","N","Y","22","9.2","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:56.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"204250","ISO-AMILE ACETATO123-92-2","ML","N","Y","22","9.2","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:56.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"204300","NORM-AMILICO ALCOOL30899-19-5","ML","N","Y","22","9.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:56.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"204356","ISO-AMILICO ALCOOL      C/ML 1000123-51-3","ML","N","Y","22","9.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:56.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"202202","ACROLEINA 90%            ML 25107-02-8","ML","N","Y","22","9.1","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:55.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"202250","ADENINA73-24-5","GR","N","Y","22","9.2","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:55.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"202300","ADENINA SOLFATO         C/GR    5321-30-2","GR","N","Y","22","9.2","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:55.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"202450","ADONITE                 C/GR    5488-81-3","GR","N","Y","22","9.0","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:55.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"202550","ADRENALINA TARTRATO     C/GR   1051-42-3","GR","N","Y","22","9.2","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:55.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"202552","AGAR NOBLE               GR   5009002-18-0","GR","N","Y","22","9.2","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:55.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"202554","AGAROSIO TYPE II MED.EEO GR  500","GR","N","Y","22","9.2","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:55.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"202650","L-ALANINA GR 2556-41-7","GR","N","Y","22","9.2","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:55.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"202750","ALBUMINA                C/GR  1009006-50-2","GR","N","Y","22","9.9","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:55.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"250900","GLICERINA ML 100056-81-5","ML","N","Y","22","9.2","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:55.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"202788","ALDEIDE CINNAMICA 98%    ML 1000104-55-2","ML","N","Y","22","9.0","2017-05-19T09:52:42.000","MIGRAZIONE","2008-10-13T12:16:05.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"201684","ACETONE CROMATOGRAFIA   C/ML 250067-64-1","ML","N","Y","22","9.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:55.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"201750","ACETONE FU              C/ML 250067-64-1","ML","N","Y","22","9.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:55.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"201752","ACETONE FU              C/ML 500067-64-1","ML","N","Y","22","9.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:55.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"201854","ACETONITRILE            C/ML 100075-05-8","ML","N","Y","22","9.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:55.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"201876","ACETONITRILE HPLC        ML 250075-05-8","ML","N","Y","22","9.1","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:55.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"201904","ACETONITRILE SPETTR.    C/ML 100075-05-8","ML","N","Y","22","9.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:55.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"201906","ACQUA HPLC ML 2500","ML","N","Y","22","9.2","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:55.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"202010","ACQUA OSSIGENATA 30%    C/ML  2507722-84-1","ML","N","Y","22","9.2","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:55.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"202050","ACRIDINA                C/GR    5260-94-6","GR","N","Y","22","9.4","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:55.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"202170","ACRILAMIDE BIOL. MOLEC.  GR  50079-06-1","GR","N","Y","22","9.2","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:55.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"202172","ACRILAMIDE ELETTROF.    C/GR  10079-06-1","GR","N","Y","22","9.2","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:55.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"243134","ETILICO ALCOOL 99% CROM.C/ML 250064-17-5","ML","N","Y","22","9.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:11:01.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"243152","ETILICO ALCOOL 95%      C/ML 100064-17-5","ML","N","Y","22","9.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:11:01.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"243154","ETILICO ALCOOL 95%      C/ML 250064-17-5","ML","N","Y","22","9.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:11:01.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"240826","ETILE ACETATO CROM.     C/ML 2500141-78-6","ML","N","Y","22","9.2","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:11:01.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"152925","REGISTRO PROTOC.RIGHE E QUADRETTI","N","N","Y","22","8.1","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"152935","RUBRICA F.TO A5","N","N","Y","22","8.1","2017-05-19T09:52:42.000","MIGRAZIONE","2005-04-22T13:04:32.000","GULLOP","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"152945","QUADERNO DA 37 FOGLI","N","N","Y","22","8.1","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"152950","ADESIVO CIANOACRILICO","N","N","Y","22","8.1","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"151102","CANCELLINI PER LAVAGNE BIANCHE","N","N","Y","22","8.1","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"151103","MAGNETINI PER LAVAGNE BIANCHE","N","N","Y","22","8.1","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"151105","PANNO ANTISTATICO","N","N","Y","22","8.1","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"151930","OCCHIELLI SALVAFORI","N","N","Y","22","8.1","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"152110","MATITA N. 2 - H","N","N","Y","22","8.1","2017-05-19T09:52:42.000","MIGRAZIONE","2005-04-22T11:25:56.000","GULLOP","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"152134","MATITA BICOLORE ROSSO/BLU","N","N","Y","22","8.1","2017-05-19T09:52:42.000","MIGRAZIONE","2005-04-22T12:44:15.000","GULLOP","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"152183","MINE 0,5 MM. CONF. DA 12 PZ.","N","N","Y","22","8.1","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"152197","TRATTO CLIP VARI COLORI ART.8800","N","N","Y","22","8.1","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"152205","PENNARELLI PER UFFICIO VARI COLORI - PUNTA FINE","N","N","Y","22","8.1","2017-05-19T09:52:42.000","MIGRAZIONE","2005-04-22T11:27:33.000","GULLOP","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"152235","EVIDENZIATORI VARI COLORI","N","N","Y","22","8.1","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"152305","COLLA STICK","N","N","Y","22","8.1","2017-05-19T09:52:42.000","MIGRAZIONE","2015-06-08T12:10:14.000","DAQUINOC","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"152330","CERALACCA IN STECCHE E GRANULI","GR","N","Y","22","8.1","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"152365","GOMMA PENNA / MATITA TAGLIO MEDIO","N","N","Y","22","8.1","2017-05-19T09:52:42.000","MIGRAZIONE","2005-04-22T12:41:51.000","GULLOP","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"100800","TEMPORIZZATORI","N","N","Y","22","8.4","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"100900","TENUTE MECCANICHE","N","N","Y","22","8.4","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"101000","VERNICE ISOLANTE","LT","N","Y","22","8.4","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"110140","CONI NORM. SMERIGL. PYREX","N","N","Y","22","8.8","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"110180","RUBIN.PYREX 2 VIE TAPPO TEFLON","N","N","Y","22","8.8","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"110220","RUBIN.PYREX 2 VIE TAPPO VETRO","N","N","Y","22","8.8","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"110260","RUBIN.PYREX 3 VIE TAPPO TEFLON","N","N","Y","22","8.8","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"110300","RUBIN.PYREX 3 VIE TAPPO VETRO","N","N","Y","22","8.8","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"110340","GIUNTI SFERICI IN PYREX","N","N","Y","22","8.8","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"111050","OSSIDO DI CERIO","N","N","Y","22","8.8","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"111100","SMERIGLIO IN CARBORUNDUM","N","N","Y","22","8.8","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"151100","LAVAGNA MAGNETICA 35X50","N","N","Y","22","8.1","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"151101","LUCIDI PER LAVAGNA LUMINOSA","N","N","Y","22","8.1","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"096330","SPINE INTERBLOCC.3P+N+T","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"096400","SPINE TRIPLE 2P + T","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"096500","STAGNO LEGA PER SALDATURA","GR","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"096600","STRUMENTI DI MISURA (INV.)","N","N","Y","22","3.921","2017-05-19T09:52:42.000","MIGRAZIONE","2013-02-18T11:00:43.000","GULLOP","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","Y","NULL","NULL"
"096700","TRASFORMATORI","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"096800","ZOCCOLI X LAMP.FLUORESCENTI","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"100100","CORDINA TERMORESISTENTE","CM","N","Y","22","8.4","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"100200","CONDENSATORI D'AVVIAMENTO","N","N","Y","22","8.4","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"100300","CONTATTI AUSIL. TELERUTTORI","N","N","Y","22","8.4","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"100400","CUSCINETTI A SFERA VARIE MISURE","N","N","Y","22","8.4","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"100600","ROCCHETTI DI FILO RAME SMALTATO","GR","N","Y","22","8.4","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"100650","SALVAMOTORI ELETTRICI","N","N","Y","22","8.4","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"100700","TELERUTTORI E RELAIS","N","N","Y","22","8.4","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"095120","SPINE INTERBLOCCATE 3P+N+T","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:51.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"095200","PRESE INTERBLOCCATE TRIPOLARI+T","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:51.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"095300","PRESE VOLANTI 2P+T","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:51.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"095340","PROLUNGHE MULTIPRESA 4 MOD.","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:51.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"095400","REATTORI A 125 V PER LAMP.FLUOR.","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"095500","REATTORI A 220 V PER LAMP.FLUOR.","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"095600","REGOLATORI DI VELOCITA'","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"095700","SCATOLE DA INCASSO","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"095800","SCATOLE DA PARETE","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"096000","SEZIONATORI PORTAFUSIBILI DIN","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"096100","SPINE 2P + T","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"096200","SPINE INTERBLOCCATE BIPOL.+T","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"096300","SPINE INTERBLOCCATE TRIPOL.+T","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"094100","LAMPADE FLUORESCENTI","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:51.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"094200","LAMPADE FLUORESCENTI E 27","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:51.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"094300","LAMPADE A IODURI METALLICI","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:51.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"094400","LAMPADE MISCELATE","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:51.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"094500","LAMPADE D'ISPEZIONE","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:51.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"094580","LAMPADE GW","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:51.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"094600","MORSETTI & MORSETTIERE","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:51.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"094700","NASTRO ISOLANTE","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:51.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"094750","PASSACAVI IP 55","N","N","Y","22","8.2","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:51.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"094800","PLACCHE MAGIC","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:51.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"094900","PLAFONIERE FLUORESCENTI","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:51.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"095000","PORTALAMPADE EDISON","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:51.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"095050","PORTASTARTER C/FISSAGGIO A VITE","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:51.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"095100","PRESE INTERBLOCCATE BIPOLARI+T","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:51.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
