"cd_voce_iva","ds_voce_iva","percentuale","dt_inizio_validita","dt_cancellazione","fl_detraibile","percentuale_detraibilita","fl_non_imponibile","fl_esente","fl_non_soggetto","fl_escluso","ti_applicazione","cd_gruppo_iva","fl_intra","fl_autofattura","fl_bolla_doganale","fl_default_istituzionale","dacr","utcr","duva","utuv","pg_ver_rec","fl_iva_non_recuperabile","natura_oper_non_imp_sdi","rif_norm_oper_non_imp_sdi","fl_solo_italia","ti_bene_servizio","fl_obb_dichiarazione_intento"
"NS7","NS.art.7 DPR 633/72","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","Y","N","E","NS","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2006-02-03T10:36:59.000","CASTORINOM","1","N","N2","NULL","N","*","N"
"21","IVA  21%","21.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","21","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2012-01-24T15:47:55.000","FIORETTOT","1","N","NULL","NULL","N","*","N"
"17","IVA 17,5","17.50","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","17,5","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2002-09-20T12:33:14.000","MODIFICA1","1","N","NULL","NULL","N","*","N"
"E89","Non imponib. art. 8 dpr 633/72","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","Y","N","N","N","E","NI","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2004-02-24T16:13:55.000","ROSATI","1","N","N3","NULL","N","*","N"
"21A","IVA 21,25%","21.25","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","21,25","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2011-09-19T10:19:14.000","PAPITTOM2","1","N","NULL","NULL","N","*","N"
"14","IVA 14%","14.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","14","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2005-09-01T12:04:49.000","MARCHESER","1","N","NULL","NULL","N","*","N"
"16","IVA 16%","16.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","16","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2004-06-18T12:21:53.000","FIORETTOT","1","N","NULL","NULL","N","*","N"
"25","IVA 25%","25.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","25","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2004-08-03T15:17:33.000","FIORETTOT","1","N","NULL","NULL","N","*","N"
"196","IVA 19,600 PER ERRORE FATTURAZ","19.60","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","19,6","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2004-10-12T14:53:35.000","FIORETTOT","1","N","NULL","NULL","N","*","N"
"NI9","Non imponib. art.9 dpr 633/72","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","Y","N","N","N","E","NI","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2005-01-25T11:44:05.000","ROSATI","1","N","N3","NULL","N","*","N"
"8,2","IVA 8,2% ART. 72 DPR 633/72","8.20","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","8,2","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2005-10-20T11:52:18.000","MODIFICA1","1","N","NULL","NULL","N","*","N"
"15","IVA 15%","15.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","15","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2009-01-22T10:43:46.000","CASTORINOM","1","N","NULL","NULL","N","*","N"
"7TR","FCI Art.7 TER DPR 633/72","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","Y","N","E","FC","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2010-05-18T17:34:23.000","MADEOMT","1","N","N2","NULL","N","*","N"
